año;mes;ciudad;temp_c;viento_vel_kmh
2016;7;Malaga;25.9;10.9
2016;7;Sevilla;28.9;9.8
2016;7;Valencia;26.3;9.9
2016;7;Zaragoza;25.3;20.6
2016;8;Barcelona;24.9;13.0
2016;8;Bilbao;21.7;7.3
2016;8;La Coruña;19.6;7.7
2016;8;Madrid;27.3;8.8
2016;8;Malaga;26.4;11.3
2016;8;Sevilla;28.8;10.1
2016;8;Valencia;26.0;9.9
2016;8;Zaragoza;25.2;19.3
2016;9;Barcelona;23.0;13.7
2016;9;Bilbao;20.1;7.2
2016;9;La Coruña;17.5;6.6
2016;9;Madrid;22.7;8.2
2016;9;Malaga;23.5;10.2
2016;9;Sevilla;25.3;8.6
2016;9;Valencia;24.0;9.8
2016;9;Zaragoza;22.6;15.6
2016;10;Barcelona;18.4;5.0
2016;10;Bilbao;16.0;6.1
2016;10;La Coruña;14.8;5.8
2016;10;Madrid;16.3;6.6
2016;10;Malaga;20.1;8.8
2016;10;Sevilla;20.6;8.3
2016;10;Valencia;20.2;7.1
2016;10;Zaragoza;16.3;11.9
2016;11;Barcelona;13.7;15.4
2016;11;Bilbao;11.6;7.9
2016;11;La Coruña;10.9;7.7
2016;11;Madrid;8.9;7.8
2016;11;Malaga;15.0;8.5
2016;11;Sevilla;13.9;8.6
2016;11;Valencia;13.9;9.9
2016;11;Zaragoza;10.0;13.4
2016;12;Barcelona;10.5;18.0
2016;12;Bilbao;11.0;6.2
2016;12;La Coruña;10.6;7.2
2016;12;Madrid;6.6;6.1
2016;12;Malaga;13.3;10.7
2016;12;Sevilla;12.2;8.9
2016;12;Valencia;11.4;8.2
2016;12;Zaragoza;6.2;8.4
